"n","seq","response_prior","eig"
10,"TTTH","ignorance",0.403141658393513
10,"TTHT","ignorance",0.403141658393513
10,"TTHH","ignorance",0.135895099361149
10,"THTT","ignorance",0.403141658393512
10,"THTH","ignorance",0.425878355977953
10,"THHT","ignorance",0.135895099361149
10,"THHH","ignorance",0.270877515813773
10,"HTTT","ignorance",0.270877515813773
10,"HTTH","ignorance",0.135895099361148
10,"HTHT","ignorance",0.425878355977953
10,"HTHH","ignorance",0.403141658393512
10,"HHTT","ignorance",0.135895099361148
10,"HHTH","ignorance",0.403141658393512
10,"HHHT","ignorance",0.403141658393512
10,"HHHH","ignorance",0.678131788712743
11,"TTTT","ignorance",0.695969043784108
11,"TTTH","ignorance",0.435757042671615
11,"TTHT","ignorance",0.435757042671615
11,"TTHH","ignorance",0.154904556129092
11,"THTT","ignorance",0.435757042671615
11,"THTH","ignorance",0.441784350759624
11,"THHT","ignorance",0.154904556129092
11,"THHH","ignorance",0.301619848679698
11,"HTTT","ignorance",0.301619848679698
11,"HTTH","ignorance",0.154904556129092
11,"HTHT","ignorance",0.441784350759623
11,"HTHH","ignorance",0.435757042671615
11,"HHTT","ignorance",0.154904556129092
11,"HHTH","ignorance",0.435757042671615
11,"HHHT","ignorance",0.435757042671615
11,"HHHH","ignorance",0.695969043784108
12,"TTTT","ignorance",0.711216620840575
12,"TTTH","ignorance",0.465872061387746
12,"TTHT","ignorance",0.465872061387746
12,"TTHH","ignorance",0.173874608231137
12,"THTT","ignorance",0.465872061387745
12,"THTH","ignorance",0.455509027265844
12,"THHT","ignorance",0.173874608231137
12,"THHH","ignorance",0.331019254291202
12,"HTTT","ignorance",0.331019254291202
12,"HTTH","ignorance",0.173874608231136
12,"HTHT","ignorance",0.455509027265844
12,"HTHH","ignorance",0.465872061387745
12,"HHTT","ignorance",0.173874608231136
12,"HHTH","ignorance",0.465872061387745
12,"HHHT","ignorance",0.465872061387745
12,"HHHH","ignorance",0.711216620840576
13,"TTTT","ignorance",0.724459400381933
13,"TTTH","ignorance",0.493686176032206
13,"TTHT","ignorance",0.493686176032206
13,"TTHH","ignorance",0.192638555252148
13,"THTT","ignorance",0.493686176032205
13,"THTH","ignorance",0.467403113997542
13,"THHT","ignorance",0.192638555252148
13,"THHH","ignorance",0.358990131812506
13,"HTTT","ignorance",0.358990131812506
13,"HTTH","ignorance",0.192638555252148
13,"HTHT","ignorance",0.467403113997542
13,"HTHH","ignorance",0.493686176032206
13,"HHTT","ignorance",0.192638555252148
13,"HHTH","ignorance",0.493686176032206
13,"HHHT","ignorance",0.493686176032206
13,"HHHH","ignorance",0.724459400381933
14,"TTTT","ignorance",0.736041954337662
14,"TTTH","ignorance",0.519396482931814
