"workerid","rt","trial_type","sequence","response_binary","seq_binary","response"
135,19426,"coins","T T T T ",0,"0000","T"
136,6656,"coins","H T T T ",0,"1000","T"
137,11548,"coins","H H H T ",0,"1110","T"
138,5693,"coins","T T T T ",1,"0000","H"
139,13684,"coins","T T H H ",0,"0011","T"
140,10359,"coins","H H H T ",0,"1110","T"
141,48825,"coins","T H T T ",0,"0100","T"
142,21912,"coins","H T H H ",1,"1011","H"
143,7500,"coins","H T T T ",0,"1000","T"
144,10808,"coins","T H H T ",0,"0110","T"
145,12345,"coins","H H T T ",0,"1100","T"
146,14875,"coins","T T H H ",1,"0011","H"
147,17111,"coins","H T H H ",0,"1011","T"
148,3922,"coins","T T H H ",1,"0011","H"
149,5161,"coins","H H T H ",1,"1101","H"
150,7664,"coins","H H T T ",0,"1100","T"
151,3818,"coins","H T T H ",1,"1001","H"
152,12359,"coins","T T T T ",1,"0000","H"
153,4908,"coins","T H H H ",1,"0111","H"
154,34353,"coins","H T H H ",0,"1011","T"
155,12039,"coins","T T H T ",1,"0010","H"
156,5829,"coins","T H H H ",1,"0111","H"
157,12261,"coins","H T H H ",0,"1011","T"
158,9234,"coins","T H H T ",1,"0110","H"
159,5238,"coins","H H H H ",0,"1111","T"
160,17578,"coins","T H H T ",0,"0110","T"
161,14650,"coins","T T T H ",1,"0001","H"
162,2581,"coins","H T T H ",0,"1001","T"
163,15040,"coins","H H T T ",0,"1100","T"
164,7221,"coins","H T T H ",0,"1001","T"
165,28063,"coins","T H T H ",1,"0101","H"
166,3862,"coins","T T H H ",1,"0011","H"
167,17993,"coins","H H H H ",0,"1111","T"
168,38534,"coins","H H T T ",0,"1100","T"
169,10728,"coins","H H H T ",0,"1110","T"
170,39095,"coins","T H H T ",1,"0110","H"
171,16242,"coins","T H T H ",0,"0101","T"
172,11360,"coins","T H H T ",1,"0110","H"
173,9805,"coins","H H T H ",0,"1101","T"
174,11751,"coins","T T T H ",1,"0001","H"
175,9731,"coins","H T H T ",1,"1010","H"
176,4418,"coins","T H H T ",0,"0110","T"
177,17742,"coins","T H H H ",0,"0111","T"
178,8462,"coins","H T T T ",0,"1000","T"
179,10708,"coins","T H H T ",0,"0110","T"
180,12986,"coins","T H T H ",0,"0101","T"
181,4231,"coins","H T H T ",0,"1010","T"
182,8291,"coins","T T T H ",1,"0001","H"
183,14533,"coins","T H H T ",0,"0110","T"
184,9487,"coins","H H H H ",0,"1111","T"
185,22361,"coins","T H T H ",1,"0101","H"
186,8049,"coins","T T T T ",1,"0000","H"
187,9618,"coins","T T T T ",1,"0000","H"
188,8971,"coins","H T T H ",0,"1001","T"
189,8971,"coins","H H H H ",0,"1111","T"
190,27934,"coins","H T T H ",1,"1001","H"
191,16445,"coins","H T H T ",0,"1010","T"
