"comparison","sequence","n","response_prior","eig"
"fair-bias","HHHH",20,"predictive",0.6124544821848
"bias-markov","TTTT",20,"predictive",0.0211366024009566
"bias-markov","TTTH",20,"predictive",0.432596487550007
"bias-markov","TTHT",20,"predictive",0.432596487550007
"bias-markov","TTHH",20,"predictive",0.0934213389714253
"bias-markov","THTT",20,"predictive",0.432596487550007
"bias-markov","THTH",20,"predictive",0.567354905561716
"bias-markov","THHT",20,"predictive",0.0934213389714253
"bias-markov","THHH",20,"predictive",0.0461538675780375
"bias-markov","HTTT",20,"predictive",0.0461538675780377
"bias-markov","HTTH",20,"predictive",0.0934213389714249
"bias-markov","HTHT",20,"predictive",0.567354905561716
"bias-markov","HTHH",20,"predictive",0.432596487550007
"bias-markov","HHTT",20,"predictive",0.0934213389714249
"bias-markov","HHTH",20,"predictive",0.432596487550007
"bias-markov","HHHT",20,"predictive",0.432596487550007
"bias-markov","HHHH",20,"predictive",0.0211366024009565
"threeway","TTTT",20,"predictive",0.552849842918198
"threeway","TTTH",20,"predictive",0.343652118649167
"threeway","TTHT",20,"predictive",0.343652118649167
"threeway","TTHH",20,"predictive",0.0835886258522626
"threeway","THTT",20,"predictive",0.343652118649166
"threeway","THTH",20,"predictive",0.517646280733613
"threeway","THHT",20,"predictive",0.0835886258522626
"threeway","THHH",20,"predictive",0.166002580856074
"threeway","HTTT",20,"predictive",0.166002580856074
"threeway","HTTH",20,"predictive",0.0835886258522622
"threeway","HTHT",20,"predictive",0.517646280733613
"threeway","HTHH",20,"predictive",0.343652118649167
"threeway","HHTT",20,"predictive",0.0835886258522622
"threeway","HHTH",20,"predictive",0.343652118649167
"threeway","HHHT",20,"predictive",0.343652118649167
"threeway","HHHH",20,"predictive",0.552849842918199
